,UNIQUE-ID,NAME,PRODUCT-NAME,SWISS-PROT-ID,REPLICON,START-BASE,END-BASE,SYNONYMS,SYNONYMS.1,SYNONYMS.2,SYNONYMS.3,GENE-CLASS,GENE-CLASS.1,GENE-CLASS.2,GENE-CLASS.3,ACCESSION-1,TRANSCRIPTION-DIRECTION,locus_tag,name,location,old_locus_tag,product,note,start,end,distance,overlap,ecocyc_gene_len,NCBI_gene_len
1723,GCQD-4537,rob,Rob DNA-binding transcriptional activator,C6UM17,CHROMOSOME-1,4623470,4622601,cbpB,robA,,,UNCLASSIFIED,,,,ECB_04272,-,ECB_RS22775,robA,[4622600:4623470](-),ECB_04272,MDR efflux pump AcrAB transcriptional activator RobA,Derived by automated computational analysis using gene prediction method: Protein Homology.,4623470,4622600,1,869,869,870
1724,GCQD-3472,rpe,ribulose-5-phosphate 3-epimerase,C6UFY6,CHROMOSOME-1,3443741,3443064,dod,yhfD,,,UNCLASSIFIED,,,,ECB_03238,-,ECB_RS17130,,[3443063:3443741](-),ECB_03238,ribulose-phosphate 3-epimerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3443741,3443063,1,677,677,678
1725,GCQD-243,araB,L-ribulokinase monomer,C6UM27,CHROMOSOME-1,72852,71152,,,,,UNCLASSIFIED,,,,ECB_00065,-,ECB_RS00335,araB,[71151:72852](-),ECB_00065,ribulokinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,72852,71151,1,1700,1700,1701
1726,GCQD-3891,ilvY,IlvY DNA-binding transcriptional dual regulator,C6UI88,CHROMOSOME-1,3919622,3918729,,,,,UNCLASSIFIED,,,,ECB_03651,-,ECB_RS19320,ilvY,[3918728:3919622](-),ECB_03651,HTH-type transcriptional activator IlvY,Derived by automated computational analysis using gene prediction method: Protein Homology.,3919622,3918728,1,893,893,894
1727,GCQD-2834,ygcO,predicted 4Fe-4S cluster-containing protein,C6UCP1,CHROMOSOME-1,2782419,2782679,,,,,UNCLASSIFIED,,,,ECB_02612,+,ECB_RS13805,,[2782418:2782679](+),ECB_02612,ferredoxin family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,2782418,2782679,1,260,260,261
1728,GCQD-1240,csgA,"curlin, major subunit",C6UFE7,CHROMOSOME-1,1119016,1119471,,,,,UNCLASSIFIED,,,,ECB_01039,+,ECB_RS05515,,[1119015:1119471](+),ECB_01039,major curlin subunit CsgA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1119015,1119471,1,455,455,456
1729,GCQD-3266,yhbX,"predicted hydrolase, inner membrane",C6UF04,CHROMOSOME-1,3256847,3255222,,,,,UNCLASSIFIED,,,,ECB_03039,-,ECB_RS16060,,[3255221:3256847](-),ECB_03039,phosphoethanolamine transferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3256847,3255221,1,1625,1625,1626
1730,GCQD-1737,dicA,DicA DNA-binding transcriptional dual regulator,,CHROMOSOME-1,1623547,1623954,ftsT,,,,UNCLASSIFIED,,,,ECB_01539,+,ECB_RS08135,,[1623546:1623954](+),ECB_01539,helix-turn-helix domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1623546,1623954,1,407,407,408
1731,GCQD-3668,sgbH,3-keto-L-gulonate 6-phosphate decarboxylase,C6UH93,CHROMOSOME-1,3679033,3679695,yiaQ,,,,UNCLASSIFIED,,,,ECB_03433,+,ECB_RS18180,ulaD,[3679032:3679695](+),ECB_03433,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,Derived by automated computational analysis using gene prediction method: Protein Homology.,3679032,3679695,1,662,662,663
1733,GCQD-4096,sthA,"pyridine nucleotide transhydrogenase, soluble",C6UJK0,CHROMOSOME-1,4140651,4139251,sth,udhA,,,UNCLASSIFIED,,,,ECB_03847,-,ECB_RS20400,,[4139250:4140651](-),ECB_03847,Si-specific NAD(P)(+) transhydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4140651,4139250,1,1400,1400,1401
1748,GCQD-2175,wzb,tyrosine phosphatase,C6UKL4,CHROMOSOME-1,2069304,2068861,,,,,UNCLASSIFIED,,,,ECB_01967,-,ECB_RS10420,wzb,[2068860:2069304](-),ECB_01967,low molecular weight protein-tyrosine-phosphatase Wzb,Derived by automated computational analysis using gene prediction method: Protein Homology.,2069304,2068860,1,443,443,444
1734,GCQD-657,ybcF,predicted carbamate kinase,,CHROMOSOME-1,522605,523498,arcC(P.a.),,,,UNCLASSIFIED,,,,ECB_00471,+,ECB_RS02450,,[522604:523498](+),ECB_00471,carbamate kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,522604,523498,1,893,893,894
1735,GCQD-1951,mipA,scaffolding protein that interacts with murein polymerase and murein hydrolase,C6UJ96,CHROMOSOME-1,1843701,1842955,yeaF,,,,UNCLASSIFIED,,,,ECB_01751,-,ECB_RS09240,,[1842954:1843701](-),ECB_01751,MltA-interacting protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1843701,1842954,1,746,746,747
1736,GCQD-2194,yegQ,predicted peptidase,C6UKN3,CHROMOSOME-1,2098775,2100136,,,,,UNCLASSIFIED,,,,ECB_01986,+,ECB_RS10515,,[2098774:2100136](+),ECB_01986,tRNA 5-hydroxyuridine modification protein YegQ,Derived by automated computational analysis using gene prediction method: Protein Homology.,2098774,2100136,1,1361,1361,1362
1737,GCQD-452,ykgH,predicted inner membrane protein,C6UAZ6,CHROMOSOME-1,298013,297345,,,,,UNCLASSIFIED,,,,ECB_00266,-,ECB_RS01405,,[297344:298013](-),ECB_00266,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,298013,297344,1,668,668,669
1738,GCQD-2628,sseB,overproduction causes enhanced serine sensitivity,C6UBC9,CHROMOSOME-1,2575752,2574976,,,,,UNCLASSIFIED,,,,ECB_02414,-,ECB_RS12720,sseB,[2574975:2575752](-),ECB_02414,enhanced serine sensitivity protein SseB,Derived by automated computational analysis using gene prediction method: Protein Homology.,2575752,2574975,1,776,776,777
1739,GCQD-2412,nuoK,"NADH:ubiquinone oxidoreductase, membrane subunit K",C6ULT8,CHROMOSOME-1,2338936,2338634,,,,,UNCLASSIFIED,,,,ECB_02204,-,ECB_RS11605,nuoK,[2338633:2338936](-),ECB_02204,NADH-quinone oxidoreductase subunit NuoK,Derived by automated computational analysis using gene prediction method: Protein Homology.,2338936,2338633,1,302,302,303
1740,GCQD-3455,yhfL,conserved secreted peptide,C6UFW9,CHROMOSOME-1,3427353,3427520,,,,,UNCLASSIFIED,,,,ECB_03220,+,ECB_RS17040,,[3427352:3427520](+),ECB_03220,YhfL family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3427352,3427520,1,167,167,168
1741,GCQD-2819,ispD,4-diphosphocytidyl-2C-methyl-D-erythritol synthetase monomer,C6UC96,CHROMOSOME-1,2767351,2766641,ygbP,,,,UNCLASSIFIED,,,,ECB_02597,-,ECB_RS13725,ispD,[2766640:2767351](-),ECB_02597,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2767351,2766640,1,710,710,711
1742,GCQD-1706,stfR,putative tail fiber protein,C6UHV3,CHROMOSOME-1,1605882,1603504,,,,,UNCLASSIFIED,,,,ECB_01508,-,ECB_RS07985,,[1603503:1605882](-),ECB_01508,phage tail protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1605882,1603503,1,2378,2378,2379
1743,GCQD-3249,yhbS,predicted acyltransferase with acyl-CoA N-acyltransferase domain,C6UEY8,CHROMOSOME-1,3235992,3235489,,,,,UNCLASSIFIED,,,,ECB_03023,-,ECB_RS15970,,[3235488:3235992](-),ECB_03023,N-acetyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3235992,3235488,1,503,503,504
1744,GCQD-4300,tsaE,protein involved in threonylcarbamoyladenosine biosynthesis,,CHROMOSOME-1,4373740,4374201,yjeE,,,,UNCLASSIFIED,,,,ECB_04035,+,ECB_RS21485,tsaE,[4373739:4374201](+),ECB_04035,tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase TsaE,Derived by automated computational analysis using gene prediction method: Protein Homology.,4373739,4374201,1,461,461,462
1745,GCQD-3648,wecH,O-acetyltransferase,C6UH74,CHROMOSOME-1,3656345,3657340,yiaH,,,,UNCLASSIFIED,,,,ECB_03413,+,ECB_RS18075,,[3656344:3657340](+),ECB_03413,acyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,3656344,3657340,1,995,995,996
1747,GCQD-1451,cysB,CysB,C6UGD9,CHROMOSOME-1,1332227,1333201,,,,,UNCLASSIFIED,,,,ECB_01251,+,ECB_RS06640,cysB,[1332226:1333201](+),ECB_01251,HTH-type transcriptional regulator CysB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1332226,1333201,1,974,974,975
1782,GCQD-2577,dapE,<i>N</i>-succinyl-L-diaminopimelate desuccinylase subunit,C6UB79,CHROMOSOME-1,2512435,2513562,msgB,,,,UNCLASSIFIED,,,,ECB_02363,+,ECB_RS12455,dapE,[2512434:2513562](+),ECB_02363,succinyl-diaminopimelate desuccinylase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2512434,2513562,1,1127,1127,1128
1783,GCQD-830,ybfN,predicted lipoprotein,C6UD52,CHROMOSOME-1,691885,692211,,,,,UNCLASSIFIED,,,,ECB_00639,+,ECB_RS03360,,[691884:692211](+),ECB_00639,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,691884,692211,1,326,326,327
1784,GCQD-2980,fbaA,fructose bisphosphate aldolase monomer,C6UDF4,CHROMOSOME-1,2956995,2955916,ald,fba,fda,,UNCLASSIFIED,,,,ECB_02756,-,ECB_RS14570,fbaA,[2955915:2956995](-),ECB_02756,class II fructose-bisphosphate aldolase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2956995,2955915,1,1079,1079,1080
1836,GCQD-3757,ECB_03522,Single-strand binding protein,C6UHI1,CHROMOSOME-1,3784371,3784856,,,,,UNCLASSIFIED,,,,ECB_03522,+,ECB_RS18635,ssb,[3784370:3784856](+),ECB_03522,single-stranded DNA-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3784370,3784856,1,485,485,486
1819,GCQD-3997,yihG,predicted endonuclease,C6UIW7,CHROMOSOME-1,4024899,4023967,,,,,UNCLASSIFIED,,,,ECB_03748,-,ECB_RS19855,,[4023966:4024899](-),ECB_03748,acyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4024899,4023966,1,932,932,933
1821,GCQD-1334,icd,Icd,,CHROMOSOME-1,1210492,1211742,icdE,icdA,,,UNCLASSIFIED,,,,ECB_01134,+,ECB_RS06010,,[1210491:1211742](+),ECB_01134,NADP-dependent isocitrate dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1210491,1211742,1,1250,1250,1251
1823,GCQD-3992,mobA,molybdopterin guanine dinucleotide synthase,C6UIW2,CHROMOSOME-1,4020296,4019712,chlB,mob,narB,,UNCLASSIFIED,,,,ECB_03743,-,ECB_RS19830,mobA,[4019711:4020296](-),ECB_03743,molybdenum cofactor guanylyltransferase MobA,Derived by automated computational analysis using gene prediction method: Protein Homology.,4020296,4019711,1,584,584,585
1825,GCQD-1827,purR,PurR,C6UIK0,CHROMOSOME-1,1715111,1716136,,,,,UNCLASSIFIED,,,,ECB_01629,+,ECB_RS08595,purR,[1715110:1716136](+),ECB_01629,HTH-type transcriptional repressor PurR,Derived by automated computational analysis using gene prediction method: Protein Homology.,1715110,1716136,1,1025,1025,1026
1827,GCQD-4406,yjhC,KpLE2 phage-like element; predicted oxidoreductase,C6UL50,CHROMOSOME-1,4487179,4488297,,,,,UNCLASSIFIED,,,,ECB_04142,+,ECB_RS22045,,[4487178:4488297](+),ECB_04142,Gfo/Idh/MocA family oxidoreductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4487178,4488297,1,1118,1118,1119
1828,GCQD-2525,ligA,DNA ligase,C6UMR0,CHROMOSOME-1,2458902,2456887,dnaL,lig,lop,pdeC,UNCLASSIFIED,,,,ECB_02311,-,ECB_RS12190,ligA,[2456886:2458902](-),ECB_02311,NAD-dependent DNA ligase LigA,Derived by automated computational analysis using gene prediction method: Protein Homology.,2458902,2456886,1,2015,2015,2016
1829,GCQD-230,folA,dihydrofolate reductase,C6ULF0,CHROMOSOME-1,54018,54497,tmr,tmrA,,,UNCLASSIFIED,,,,ECB_00052,+,ECB_RS00270,folA,[54017:54497](+),ECB_00052,type 3 dihydrofolate reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,54017,54497,1,479,479,480
1830,GCQD-2924,xdhB,"xanthine dehydrogenase subunit, FAD-binding domain",C6UCX8,CHROMOSOME-1,2888369,2889247,ygeT,,,,UNCLASSIFIED,,,,ECB_02700,+,ECB_RS14280,xdhB,[2888368:2889247](+),ECB_02700,xanthine dehydrogenase FAD-binding subunit XdhB,Derived by automated computational analysis using gene prediction method: Protein Homology.,2888368,2889247,1,878,878,879
1831,GCQD-2712,rplS,50S ribosomal protein L19,C6UBZ4,CHROMOSOME-1,2665937,2665590,,,,,UNCLASSIFIED,,,,ECB_02495,-,ECB_RS13175,rplS,[2665589:2665937](-),ECB_02495,50S ribosomal protein L19,Derived by automated computational analysis using gene prediction method: Protein Homology.,2665937,2665589,1,347,347,348
1832,GCQD-3351,acrE,AcrEF-TolC multidrug efflux transport system - membrane fusion protein,C6UF88,CHROMOSOME-1,3341755,3342912,envC,,,,UNCLASSIFIED,,,,ECB_03123,+,ECB_RS16505,acrE,[3341754:3342912](+),ECB_03123,multidrug efflux RND transporter periplasmic adaptor subunit AcrE,Derived by automated computational analysis using gene prediction method: Protein Homology.,3341754,3342912,1,1157,1157,1158
1833,GCQD-3140,ygiL,predicted fimbrial-like adhesin protein,C6UE96,CHROMOSOME-1,3119586,3120137,,,,,UNCLASSIFIED,,,,ECB_02915,+,ECB_RS15405,,[3119585:3120137](+),ECB_02915,fimbrial-like protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3119585,3120137,1,551,551,552
1834,GCQD-1096,serS,seryl-tRNA synthetase,C6UEM8,CHROMOSOME-1,956521,957813,,,,,UNCLASSIFIED,,,,ECB_00897,+,ECB_RS04745,serS,[956520:957813](+),ECB_00897,serine--tRNA ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,956520,957813,1,1292,1292,1293
1835,GCQD-354,skp,periplasmic chaperone,C6UMD8,CHROMOSOME-1,203324,203809,ompH,hlpA,,,UNCLASSIFIED,,,,ECB_00176,+,ECB_RS00915,skp,[203323:203809](+),ECB_00176,molecular chaperone Skp,Derived by automated computational analysis using gene prediction method: Protein Homology.,203323,203809,1,485,485,486
1839,GCQD-3970,ubiE,"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase",C6UIU5,CHROMOSOME-1,3997326,3998081,yigO,,,,UNCLASSIFIED,,,,ECB_03726,+,ECB_RS19720,ubiE,[3997325:3998081](+),ECB_03726,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE",Derived by automated computational analysis using gene prediction method: Protein Homology.,3997325,3998081,1,755,755,756
1785,GCQD-2771,recA,DNA strand exchange and recombination protein with protease and nuclease activity,C6UC48,CHROMOSOME-1,2718628,2717567,zab,umuB,tif,lexB,UNCLASSIFIED,,,,ECB_02549,-,ECB_RS13480,recA,[2717566:2718628](-),ECB_02549,recombinase RecA,Derived by automated computational analysis using gene prediction method: Protein Homology.,2718628,2717566,1,1061,1061,1062
1840,GCQD-4193,yjcB,predicted inner membrane protein,C6UK59,CHROMOSOME-1,4253974,4253693,,,,,UNCLASSIFIED,,,,ECB_03932,-,ECB_RS20920,,[4253692:4253974](-),ECB_03932,membrane protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4253974,4253692,1,281,281,282
1841,GCQD-1810,slyA,SlyA DNA-binding transcriptional activator,C6UII3,CHROMOSOME-1,1698018,1697584,,,,,UNCLASSIFIED,,,,ECB_01612,-,ECB_RS08510,slyA,[1697583:1698018](-),ECB_01612,transcriptional regulator SlyA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1698018,1697583,1,434,434,435
1842,GCQD-2061,motA,flagellar motor protein MotA,C6UJY0,CHROMOSOME-1,1955909,1955022,,,,,UNCLASSIFIED,,,,ECB_01861,-,ECB_RS09835,motA,[1955021:1955909](-),ECB_01861,flagellar motor stator protein MotA,Derived by automated computational analysis using gene prediction method: Protein Homology.,1955909,1955021,1,887,887,888
1843,GCQD-4387,valS,valyl-tRNA synthetase,C6UL33,CHROMOSOME-1,4466870,4464015,val-act,,,,UNCLASSIFIED,,,,ECB_04124,-,ECB_RS21940,valS,[4464014:4466870](-),ECB_04124,valine--tRNA ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4466870,4464014,1,2855,2855,2856
1845,GCQD-2283,preA,NADH-dependent dihydropyrimidine dehydrogenase subunit,,CHROMOSOME-1,2186503,2187738,yeiA,,,,UNCLASSIFIED,,,,ECB_02076,+,ECB_RS10940,preA,[2186502:2187738](+),ECB_02076,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,Derived by automated computational analysis using gene prediction method: Protein Homology.,2186502,2187738,1,1235,1235,1236
1846,GCQD-2907,aas,acyl-ACP synthetase / 2-acylglycerophosphoethanolamine acyltransferase,C6UCW2,CHROMOSOME-1,2870634,2868475,,,,,UNCLASSIFIED,,,,ECB_02684,-,ECB_RS14195,,[2868474:2870634](-),ECB_02684,bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2870634,2868474,1,2159,2159,2160
1847,GCQD-2689,trxC,reduced thioredoxin 2,C6UBJ0,CHROMOSOME-1,2640228,2640647,yfiG,,,,UNCLASSIFIED,,,,ECB_02476,+,ECB_RS13060,trxC,[2640227:2640647](+),ECB_02476,thioredoxin TrxC,Derived by automated computational analysis using gene prediction method: Protein Homology.,2640227,2640647,1,419,419,420
1848,GCQD-3334,rng,ribonuclease G (RNAse G) monomer,C6UF71,CHROMOSOME-1,3325686,3324217,adhR,cafA,yhdF,,UNCLASSIFIED,,,,ECB_03106,-,ECB_RS16400,,[3324216:3325686](-),ECB_03106,ribonuclease G,Derived by automated computational analysis using gene prediction method: Protein Homology.,3325686,3324216,1,1469,1469,1470
1850,GCQD-3737,yicG,conserved inner membrane protein,C6UHG2,CHROMOSOME-1,3757231,3757848,,,,,UNCLASSIFIED,,,,ECB_03503,+,ECB_RS18540,,[3757230:3757848](+),ECB_03503,trimeric intracellular cation channel family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,3757230,3757848,1,617,617,618
1851,GCQD-3520,yhgN,predicted inner membrane protein,C6UGG5,CHROMOSOME-1,3506524,3507117,,,,,UNCLASSIFIED,,,,ECB_03286,+,ECB_RS17380,yhgN,[3506523:3507117](+),ECB_03286,NAAT family transporter YhgN,Derived by automated computational analysis using gene prediction method: Protein Homology.,3506523,3507117,1,593,593,594
1852,GCQD-1552,ldhA,D-lactate dehydrogenase - fermentative,C6UH22,CHROMOSOME-1,1434449,1433460,htpH,hslF,hslI,,UNCLASSIFIED,,,,ECB_01352,-,ECB_RS07185,ldhA,[1433459:1434449](-),ECB_01352,D-lactate dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1434449,1433459,1,989,989,990
1853,GCQD-1295,tmk,thymidylate kinase,C6UFK2,CHROMOSOME-1,1169693,1170334,ycfG,,,,UNCLASSIFIED,,,,ECB_01094,+,ECB_RS05805,,[1169692:1170334](+),ECB_01094,dTMP kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1169692,1170334,1,641,641,642
1854,GCQD-4175,dgkA,DgkA,C6UJR6,CHROMOSOME-1,4235569,4235937,,,,,UNCLASSIFIED,,,,ECB_03914,+,ECB_RS20825,,[4235568:4235937](+),ECB_03914,diacylglycerol kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4235568,4235937,1,368,368,369
1818,GCQD-3786,uhpB,UhpB sensory histidine kinase,C6UHZ1,CHROMOSOME-1,3810068,3808566,,,,,UNCLASSIFIED,,,,ECB_03552,-,ECB_RS18770,uhpB,[3808565:3810068](-),ECB_03552,signal transduction histidine-protein kinase/phosphatase UhpB,Derived by automated computational analysis using gene prediction method: Protein Homology.,3810068,3808565,1,1502,1502,1503
1817,GCQD-1343,ycgG,conserved inner membrane protein,C6UG36,CHROMOSOME-1,1217489,1219012,,,,,UNCLASSIFIED,,,,ECB_01143,+,ECB_RS06060,,[1217488:1219012](+),ECB_01143,cyclic diguanylate phosphodiesterase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1217488,1219012,1,1523,1523,1524
1816,GCQD-1114,rpsA,30S ribosomal protein S1,C6UEP6,CHROMOSOME-1,979087,980760,,,,,UNCLASSIFIED,,,,ECB_00915,+,ECB_RS04835,rpsA,[979086:980760](+),ECB_00915,30S ribosomal protein S1,Derived by automated computational analysis using gene prediction method: Protein Homology.,979086,980760,1,1673,1673,1674
1815,GCQD-316,htrE,putative outer membrane usher protein,C6UMA0,CHROMOSOME-1,158270,155670,,,,,UNCLASSIFIED,,,,ECB_00138,-,ECB_RS00720,htrE,[155669:158270](-),ECB_00138,Yad fimbria usher protein HtrE,Derived by automated computational analysis using gene prediction method: Protein Homology.,158270,155669,1,2600,2600,2601
1786,GCQD-3407,rpsJ,30S ribosomal protein S10,C6UFS1,CHROMOSOME-1,3381175,3380864,,,,,UNCLASSIFIED,,,,ECB_03172,-,ECB_RS16790,rpsJ,[3380863:3381175](-),ECB_03172,30S ribosomal protein S10,Derived by automated computational analysis using gene prediction method: Protein Homology.,3381175,3380863,1,311,311,312
1788,GCQD-1154,pqiB,paraquat-inducible protein B,C6UET6,CHROMOSOME-1,1030350,1031990,pqi5,pqi5B,,,UNCLASSIFIED,,,,ECB_00955,+,ECB_RS05040,pqiB,[1030349:1031990](+),ECB_00955,intermembrane transport protein PqiB,Derived by automated computational analysis using gene prediction method: Protein Homology.,1030349,1031990,1,1640,1640,1641
1789,GCQD-1388,ychQ,predicted transcriptional regulator,C6UG79,CHROMOSOME-1,1267074,1267466,,,,,UNCLASSIFIED,,,,ECB_01188,+,ECB_RS06310,,[1267073:1267466](+),ECB_01188,SirB family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1267073,1267466,1,392,392,393
1790,GCQD-3825,tnaC,tna operon leader peptide,,CHROMOSOME-1,3848796,3848870,tnaL,,,,UNCLASSIFIED,,,,ECB_03591,+,ECB_RS18990,tnaC,[3848795:3848870](+),ECB_03591,tryptophanase leader peptide,Derived by automated computational analysis using gene prediction method: Protein Homology.,3848795,3848870,1,74,74,75
1791,GCQD-4029,fdhD,affects formate dehydrogenase-N,C6UIZ8,CHROMOSOME-1,4064163,4064996,,,,,UNCLASSIFIED,,,,ECB_03780,+,ECB_RS20040,fdhD,[4064162:4064996](+),ECB_03780,formate dehydrogenase accessory sulfurtransferase FdhD,Derived by automated computational analysis using gene prediction method: Protein Homology.,4064162,4064996,1,833,833,834
1792,GCQD-4244,basS,BasS sensory histidine kinase,C6UKA9,CHROMOSOME-1,4311986,4310895,pmrB,,,,UNCLASSIFIED,,,,ECB_03983,-,ECB_RS21190,pmrB,[4310894:4311986](-),ECB_03983,two-component system sensor histidine kinase PmrB,Derived by automated computational analysis using gene prediction method: Protein Homology.,4311986,4310894,1,1091,1091,1092
1793,GCQD-4449,fimF,fimbrial morphology,C6UL89,CHROMOSOME-1,4528656,4529186,,,,,UNCLASSIFIED,,,,ECB_04187,+,ECB_RS22300,fimF,[4528655:4529186](+),ECB_04187,type 1 fimbria minor subunit FimF,Derived by automated computational analysis using gene prediction method: Protein Homology.,4528655,4529186,1,530,530,531
1794,GCQD-213,dapB,4-hydroxy-tetrahydrodipicolinate reductase,C6ULD4,CHROMOSOME-1,32446,33267,,,,,UNCLASSIFIED,,,,ECB_00035,+,ECB_RS00170,dapB,[32445:33267](+),ECB_00035,4-hydroxy-tetrahydrodipicolinate reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,32445,33267,1,821,821,822
1795,GCQD-2339,napH,ferredoxin-type protein,C6ULL6,CHROMOSOME-1,2249567,2248704,yejZ,,,,UNCLASSIFIED,,,,ECB_02131,-,ECB_RS11235,napH,[2248703:2249567](-),ECB_02131,quinol dehydrogenase ferredoxin subunit NapH,Derived by automated computational analysis using gene prediction method: Protein Homology.,2249567,2248703,1,863,863,864
1796,GCQD-2559,eutJ,"predicted chaperonin, ethanolamine utilization protein",C6UB61,CHROMOSOME-1,2491166,2490330,yffW,,,,UNCLASSIFIED,,,,ECB_02345,-,ECB_RS12360,eutJ,[2490329:2491166](-),ECB_02345,ethanolamine utilization protein EutJ,Derived by automated computational analysis using gene prediction method: Protein Homology.,2491166,2490329,1,836,836,837
1797,GCQD-3177,higA,antitoxin of the HigB-HigA toxin-antitoxin system,C6UED2,CHROMOSOME-1,3166961,3166545,ygjM,,,,UNCLASSIFIED,,,,ECB_02951,-,ECB_RS15605,higA,[3166544:3166961](-),ECB_02951,type II toxin-antitoxin system antitoxin HigA,Derived by automated computational analysis using gene prediction method: Protein Homology.,3166961,3166544,1,416,416,417
1798,GCQD-2963,ubiH,2-octaprenyl-6-methoxyphenol hydroxylase,C6UDD7,CHROMOSOME-1,2939269,2938091,acd,visB,,,UNCLASSIFIED,,,,ECB_02739,-,ECB_RS14485,ubiH,[2938090:2939269](-),ECB_02739,2-octaprenyl-6-methoxyphenyl hydroxylase,Derived by automated computational analysis using gene prediction method: Protein Homology.,2939269,2938090,1,1178,1178,1179
1799,GCQD-358,lpxB,LpxB,C6UME2,CHROMOSOME-1,206190,207338,pgsB,,,,UNCLASSIFIED,,,,ECB_00180,+,ECB_RS00935,lpxB,[206189:207338](+),ECB_00180,lipid-A-disaccharide synthase,Derived by automated computational analysis using gene prediction method: Protein Homology.,206189,207338,1,1148,1148,1149
1800,GCQD-3391,rplF,50S ribosomal protein L6,C6UFQ5,CHROMOSOME-1,3374045,3373512,,,,,UNCLASSIFIED,,,,ECB_03156,-,ECB_RS16710,rplF,[3373511:3374045](-),ECB_03156,50S ribosomal protein L6,Derived by automated computational analysis using gene prediction method: Protein Homology.,3374045,3373511,1,533,533,534
1801,GCQD-1370,ymgE,predicted inner membrane protein,C6UG61,CHROMOSOME-1,1244878,1245132,tag,,,,UNCLASSIFIED,,,,ECB_01170,+,ECB_RS06215,,[1244877:1245132](+),ECB_01170,GlsB/YeaQ/YmgE family stress response membrane protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1244877,1245132,1,254,254,255
1802,GCQD-3804,ibpA,small heat shock protein IbpA,C6UI08,CHROMOSOME-1,3827783,3827370,hslT,htpN,,,UNCLASSIFIED,,,,ECB_03570,-,ECB_RS18880,ibpA,[3827369:3827783](-),ECB_03570,heat shock chaperone IbpA,Derived by automated computational analysis using gene prediction method: Protein Homology.,3827783,3827369,1,413,413,414
1803,GCQD-4012,yihQ,&alpha;-glucosidase,C6UIY2,CHROMOSOME-1,4047497,4045494,,,,,UNCLASSIFIED,,,,ECB_03763,-,ECB_RS19945,yihQ,[4045493:4047497](-),ECB_03763,sulfoquinovosidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,4047497,4045493,1,2003,2003,2004
1804,GCQD-1621,nhoA,arylamine <i>N</i>-acetyltransferase,C6UHM2,CHROMOSOME-1,1508175,1509020,yddI,,,,UNCLASSIFIED,,,,ECB_01421,+,ECB_RS07540,nhoA,[1508174:1509020](+),ECB_01421,N-hydroxyarylamine O-acetyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,1508174,1509020,1,845,845,846
